Daytime_evening_attendance;Previous_qualification_grade;Admission_grade;Displaced;Educational_special_needs;Debtor;Tuition_fees_up_to_date;Gender;Scholarship_holder;International;Curricular_units_1st_sem_grade;Curricular_units_2nd_sem_grade;Unemployment_rate;Inflation_rate;GDP;Status;Marital_status_grouped;Application_mode_grouped;Course_grouped;Previous_qualification_grouped;Nationality_grouped;Mothers_qualification_grouped;Fathers_qualification_grouped;Mothers_occupation_grouped;Fathers_occupation_grouped;Application_order_grouped;Age_at_enrollment_grouped;Curricular_units_1st_sem_credited_grouped;Curricular_units_1st_sem_enrolled_grouped;Curricular_units_1st_sem_evaluations_grouped;Curricular_units_1st_sem_approved_grouped;Curricular_units_1st_sem_without_evaluations_grouped;Curricular_units_2nd_sem_credited_grouped;Curricular_units_2nd_sem_enrolled_grouped;Curricular_units_2nd_sem_evaluations_grouped;Curricular_units_2nd_sem_approved_grouped;Curricular_units_2nd_sem_without_evaluations_grouped
1;122.0;127.3;1;0;0;1;1;0;0;0.0;0.0;10.8;1.4;1.74;Dropout;single;general;design_and_communication_course;school_edu;portuguese;school_edu_degree;school_edu_degree;services_or_seller;unskilled_worker;3+;17-24;0;0-4;0-5;0-4;0;0;0-4;0-5;0-4;0
1;160.0;142.5;1;0;0;0;1;0;0;14.0;13.666666666666666;13.9;-0.3;0.79;Graduate;single;others;business_and_management_course;school_edu;portuguese;school_edu_degree;higher_edu_degree;inter_tech_or_prof_personnel;inter_tech_or_prof_personnel;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;122.0;124.8;1;0;0;0;1;0;0;0.0;0.0;10.8;1.4;1.74;Dropout;single;general;design_and_communication_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;unskilled_worker;3+;17-24;0;5-8;0-5;0-4;0;0;5-8;0-5;0-4;0
1;122.0;119.6;1;0;0;1;0;0;0;13.428571428571429;12.4;9.4;-0.8;-3.12;Graduate;single;general;design_and_communication_course;school_edu;portuguese;school_edu_degree;school_edu_degree;services_or_seller;inter_tech_or_prof_personnel;2-3;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
0;100.0;141.5;0;0;0;1;0;0;0;12.333333333333334;13.0;13.9;-0.3;0.79;Graduate;married;others;social_services_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;unskilled_worker;0-1;31+;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
0;133.1;114.8;0;0;1;1;1;0;0;11.857142857142858;11.5;16.2;0.3;-0.92;Graduate;married;others;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;skilled_worker;0-1;31+;0;5-8;6-10;5-8;0;0;5-8;11+;5-8;1+
1;142.0;128.4;1;0;0;1;0;1;0;13.3;14.345;15.5;2.8;-4.06;Graduate;single;general;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;skilled_worker;armed_forces;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;119.0;113.1;1;0;0;0;1;0;0;0.0;0.0;15.5;2.8;-4.06;Dropout;single;general;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;unskilled_worker;3+;17-24;0;5-8;0-5;0-4;0;0;5-8;0-5;0-4;0
1;137.0;129.3;0;0;0;1;0;1;1;13.875;14.142857142857142;16.2;0.3;-0.92;Graduate;single;general;social_services_course;school_edu;others;school_edu_degree;school_edu_degree;unskilled_worker;unskilled_worker;2-3;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;138.0;123.0;1;0;1;0;0;0;0;11.4;13.5;8.9;1.4;3.51;Dropout;single;general;social_services_course;school_edu;portuguese;school_edu_degree;school_edu_degree;administration_or_office;skilled_worker;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;11+;0-4;0
1;139.0;130.6;1;0;0;1;0;0;0;12.333333333333334;14.2;13.9;-0.3;0.79;Graduate;single;general;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;services_or_seller;skilled_worker;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;136.0;119.3;1;0;0;1;0;1;0;13.214285714285714;13.214285714285714;12.7;3.7;-1.7;Graduate;single;general;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;unskilled_worker;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;133.0;130.2;1;0;0;1;0;0;0;0.0;0.0;12.7;3.7;-1.7;Dropout;single;general;others;school_edu;portuguese;school_edu_degree;school_edu_degree;administration_or_office;unskilled_worker;2-3;17-24;0;5-8;6-10;0-4;0;0;5-8;0-5;0-4;0
1;110.0;111.8;1;0;0;1;0;1;0;10.571428571428571;11.0;8.9;1.4;3.51;Graduate;single;others;business_and_management_course;vocational_professional;portuguese;school_edu_degree;school_edu_degree;administration_or_office;skilled_worker;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;149.0;137.1;1;0;0;1;0;1;0;13.25;12.0;10.8;1.4;1.74;Graduate;single;general;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;services_or_seller;services_or_seller;0-1;17-24;0;5-8;6-10;0-4;0;0;5-8;0-5;5-8;0
1;127.0;120.7;1;0;0;1;0;0;0;13.2;0.0;15.5;2.8;-4.06;Dropout;single;general;design_and_communication_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;inter_tech_or_prof_personnel;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;0-4;0
1;137.0;137.4;1;0;0;1;0;0;0;12.0;11.0;10.8;1.4;1.74;Enrolled;single;general;social_services_course;school_edu;portuguese;school_edu_degree;school_edu_degree;services_or_seller;machine_opt_and_installer;0-1;17-24;0;5-8;6-10;0-4;0;0;5-8;11+;0-4;0
1;135.0;127.3;1;0;0;1;0;0;0;13.30625;14.545;15.5;2.8;-4.06;Graduate;single;general;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;services_or_seller;administration_or_office;2-3;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;137.0;136.3;1;0;0;1;0;0;0;12.5;12.25;10.8;1.4;1.74;Graduate;single;general;nature_and_engineering_course;school_edu;portuguese;higher_edu_degree;school_edu_degree;inter_tech_or_prof_personnel;services_or_seller;0-1;17-24;0;5-8;6-10;0-4;1+;0;5-8;6-10;0-4;1+
1;140.0;124.6;1;0;0;1;0;0;0;11.666666666666666;13.5;16.2;0.3;-0.92;Enrolled;single;general;others;school_edu;portuguese;school_edu_degree;school_edu_degree;skilled_worker;skilled_worker;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;122.0;120.3;0;0;0;1;0;1;0;0.0;0.0;11.1;0.6;2.02;Graduate;single;general;design_and_communication_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;machine_opt_and_installer;2-3;17-24;0;0-4;0-5;0-4;0;0;0-4;0-5;0-4;0
1;127.0;121.8;1;0;0;1;0;0;0;11.4375;11.425;12.7;3.7;-1.7;Enrolled;single;general;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;administration_or_office;skilled_worker;3+;17-24;0;5-8;11+;5-8;0;0;5-8;6-10;5-8;0
