Daytime_evening_attendance;Previous_qualification_grade;Admission_grade;Displaced;Educational_special_needs;Debtor;Tuition_fees_up_to_date;Gender;Scholarship_holder;International;Curricular_units_1st_sem_grade;Curricular_units_2nd_sem_grade;Unemployment_rate;Inflation_rate;GDP;Status;Marital_status_grouped;Application_mode_grouped;Course_grouped;Previous_qualification_grouped;Nationality_grouped;Mothers_qualification_grouped;Fathers_qualification_grouped;Mothers_occupation_grouped;Fathers_occupation_grouped;Application_order_grouped;Age_at_enrollment_grouped;Curricular_units_1st_sem_credited_grouped;Curricular_units_1st_sem_enrolled_grouped;Curricular_units_1st_sem_evaluations_grouped;Curricular_units_1st_sem_approved_grouped;Curricular_units_1st_sem_without_evaluations_grouped;Curricular_units_2nd_sem_credited_grouped;Curricular_units_2nd_sem_enrolled_grouped;Curricular_units_2nd_sem_evaluations_grouped;Curricular_units_2nd_sem_approved_grouped;Curricular_units_2nd_sem_without_evaluations_grouped
1;137.0;137.4;1;0;0;1;0;0;0;12.0;11.0;10.8;1.4;1.74;Enrolled;single;general;social_services_course;school_edu;portuguese;school_edu_degree;school_edu_degree;services_or_seller;machine_opt_and_installer;0-1;17-24;0;5-8;6-10;0-4;0;0;5-8;11+;0-4;0
1;140.0;124.6;1;0;0;1;0;0;0;11.666666666666666;13.5;16.2;0.3;-0.92;Enrolled;single;general;others;school_edu;portuguese;school_edu_degree;school_edu_degree;skilled_worker;skilled_worker;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;127.0;121.8;1;0;0;1;0;0;0;11.4375;11.425;12.7;3.7;-1.7;Enrolled;single;general;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;administration_or_office;skilled_worker;3+;17-24;0;5-8;11+;5-8;0;0;5-8;6-10;5-8;0
1;151.0;157.0;1;0;1;1;0;1;0;11.6;11.0;7.6;2.6;0.32;Enrolled;single;general;social_services_course;school_edu;portuguese;school_edu_degree;school_edu_degree;unskilled_worker;unskilled_worker;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;11+;0-4;0
1;138.0;131.0;1;0;0;1;0;0;0;12.666666666666666;13.0;9.4;-0.8;-3.12;Enrolled;single;general;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;inter_tech_or_prof_personnel;inter_tech_or_prof_personnel;0-1;17-24;0;5-8;6-10;5-8;1+;0;5-8;6-10;0-4;0
1;127.0;118.8;1;0;0;1;1;0;0;12.933333333333332;13.716666666666669;16.2;0.3;-0.92;Enrolled;single;general;health_course;school_edu;portuguese;higher_edu_degree;higher_edu_degree;professional_or_expert;armed_forces;2-3;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;150.0;150.0;0;0;0;1;1;0;0;11.857142857142858;10.571428571428571;16.2;0.3;-0.92;Enrolled;single;others;nature_and_engineering_course;vocational_professional;portuguese;higher_edu_degree;higher_edu_degree;administration_or_office;professional_or_expert;0-1;17-24;0;5-8;11+;5-8;0;0;5-8;11+;5-8;0
1;143.0;138.8;0;0;0;0;1;0;0;11.333333333333334;13.5;8.9;1.4;3.51;Enrolled;single;general;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;administration_or_office;skilled_worker;0-1;17-24;0;5-8;6-10;0-4;0;0;5-8;6-10;0-4;0
0;154.0;134.1;0;0;0;1;0;0;0;11.5;14.333333333333334;7.6;2.6;0.32;Enrolled;single;general;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;administration_or_office;services_or_seller;0-1;17-24;0;5-8;6-10;0-4;0;0;5-8;11+;0-4;1+
1;139.0;121.3;1;0;0;1;0;1;0;11.833333333333334;11.833333333333334;9.4;-0.8;-3.12;Enrolled;single;general;health_course;school_edu;portuguese;school_edu_degree;school_edu_degree;skilled_worker;skilled_worker;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;127.0;121.8;1;0;0;1;0;1;0;14.0;11.0;9.4;-0.8;-3.12;Enrolled;single;general;design_and_communication_course;school_edu;portuguese;school_edu_degree;school_edu_degree;skilled_worker;skilled_worker;0-1;17-24;0;5-8;11+;0-4;0;0;5-8;11+;0-4;0
1;125.0;115.2;1;0;0;1;0;0;0;0.0;0.0;7.6;2.6;0.32;Enrolled;single;general;design_and_communication_course;school_edu;portuguese;school_edu_degree;school_edu_degree;administration_or_office;unskilled_worker;2-3;17-24;0;0-4;0-5;0-4;0;0;0-4;0-5;0-4;0
1;133.0;126.0;1;0;0;1;1;1;0;0.0;0.0;10.8;1.4;1.74;Enrolled;single;general;design_and_communication_course;school_edu;portuguese;school_edu_degree;school_edu_degree;administration_or_office;skilled_worker;2-3;17-24;0;0-4;0-5;0-4;0;0;0-4;0-5;0-4;0
1;127.0;130.2;1;0;0;1;1;0;0;11.4;10.0;10.8;1.4;1.74;Enrolled;single;general;design_and_communication_course;school_edu;portuguese;school_edu_degree;school_edu_degree;inter_tech_or_prof_personnel;administration_or_office;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;0-4;0
1;116.0;120.9;0;0;0;1;1;0;0;0.0;0.0;12.7;3.7;-1.7;Enrolled;single;others;design_and_communication_course;school_edu;portuguese;school_edu_degree;school_edu_degree;inter_tech_or_prof_personnel;inter_tech_or_prof_personnel;0-1;17-24;0;5-8;6-10;0-4;0;0;5-8;6-10;0-4;0
1;160.0;100.0;0;0;0;1;1;0;0;12.0;10.8;12.7;3.7;-1.7;Enrolled;single;others;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;skilled_worker;armed_forces;0-1;25-30;0;5-8;6-10;5-8;0;0;5-8;6-10;5-8;0
1;148.0;134.0;0;0;0;1;1;0;0;0.0;0.0;7.6;2.6;0.32;Enrolled;single;general;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;services_or_seller;services_or_seller;0-1;17-24;0;5-8;6-10;0-4;0;0;5-8;0-5;0-4;0
1;120.0;125.5;0;0;0;1;1;0;0;12.0;11.333333333333334;12.7;3.7;-1.7;Enrolled;single;general;business_and_management_course;school_edu;portuguese;school_edu_degree;school_edu_degree;administration_or_office;administration_or_office;0-1;17-24;0;5-8;6-10;5-8;0;0;5-8;6-10;0-4;0
