Daytime_evening_attendance;Previous_qualification_grade;Admission_grade;Displaced;Educational_special_needs;Debtor;Tuition_fees_up_to_date;Gender;Scholarship_holder;International;Curricular_units_1st_sem_grade;Curricular_units_2nd_sem_grade;Unemployment_rate;Inflation_rate;GDP;Status;Marital_status_grouped;Application_mode_grouped;Course_grouped;Previous_qualification_grouped;Nationality_grouped;Mothers_qualification_grouped;Fathers_qualification_grouped;Mothers_occupation_grouped;Fathers_occupation_grouped;Application_order_grouped;Age_at_enrollment_grouped;Curricular_units_1st_sem_credited_grouped;Curricular_units_1st_sem_enrolled_grouped;Curricular_units_1st_sem_evaluations_grouped;Curricular_units_1st_sem_approved_grouped;Curricular_units_1st_sem_without_evaluations_grouped;Curricular_units_2nd_sem_credited_grouped;Curricular_units_2nd_sem_enrolled_grouped;Curricular_units_2nd_sem_evaluations_grouped;Curricular_units_2nd_sem_approved_grouped;Curricular_units_2nd_sem_without_evaluations_grouped
1;-0.8250342298800831;0.00041484624840820716;1;0;0;1;1;0;0;-2.0832243070150342;0.0;-0.3113121790486066;0.12161458918853636;0.774118642653232;1;2;0;1;1;1;2;2;4;8;2;0;0;0;0;0;0;0;0;0;0;0
1;2.0458046742478526;1.040849237257138;1;0;0;0;1;0;0;0.6852169811434977;13.666666666666666;0.8509185789747404;-1.1060700662710716;0.35370411948877484;0;2;1;0;1;1;2;0;1;2;0;0;0;1;2;1;0;0;1;2;1;0
1;-0.8250342298800831;-0.17070923122013287;1;0;0;0;1;0;0;-2.0832243070150342;0.0;-0.3113121790486066;0.12161458918853636;0.774118642653232;1;2;0;1;1;1;2;2;6;8;2;0;0;1;0;0;0;0;1;0;0;0
1;-0.8250342298800831;-0.5266473123546985;1;0;0;1;0;0;0;0.5722193775451904;12.4;-0.8361905858978602;-1.4671537884650738;-1.3766335495354654;0;2;0;1;1;1;2;2;4;2;1;0;0;1;2;1;0;0;1;2;1;0
0;-2.48709885858573;0.9723996062697218;0;0;0;1;0;0;0;0.3556406373151012;13.0;0.8509185789747404;-1.1060700662710716;0.35370411948877484;0;0;1;5;1;1;2;2;6;8;0;2;0;1;2;1;0;0;1;2;1;0
0;0.013552923694129249;-0.8552055410942973;0;0;1;1;1;0;0;0.26147596764984504;11.5;1.7132188187985138;-0.6727695996382688;-0.40304202220724833;0;0;1;0;1;1;2;2;6;7;0;2;0;1;2;1;0;0;1;1;1;1
1;0.6859336143977778;0.07570944033456686;1;0;0;1;0;1;0;0.5467949167355713;14.345;1.4507796153738872;1.132649011331743;-1.7926226566666124;0;2;0;2;1;1;2;2;5;1;0;0;0;1;2;1;0;0;1;2;1;0
1;-1.0516794065217623;-0.9715699137729054;1;0;0;0;1;0;0;-2.0832243070150342;0.0;1.4507796153738872;1.132649011331743;-1.7926226566666124;1;2;0;0;1;1;2;2;6;8;2;0;0;1;0;0;0;0;1;0;0;0
1;0.30819165332831255;0.13731410822324205;0;0;0;1;0;1;1;0.660498755356368;14.142857142857142;1.7132188187985138;-0.6727695996382688;-0.40304202220724833;0;2;0;5;1;0;2;2;6;8;1;0;0;1;2;1;0;0;1;2;1;0
1;0.3837400455422056;-0.29391856699748226;1;0;1;0;0;0;0;0.17107788477119906;13.5;-1.0236471597725936;0.12161458918853636;1.5574172805491155;1;2;0;5;1;1;2;2;0;7;0;0;0;1;2;1;0;0;1;1;0;0
1;0.4592884377560986;0.22629862850688223;1;0;0;1;0;0;0;0.3556406373151012;14.2;0.8509185789747404;-1.1060700662710716;0.35370411948877484;0;2;0;0;1;1;2;2;4;7;0;0;0;1;2;1;0;0;1;2;1;0
1;0.23264326111441952;-0.5471822016509232;1;0;0;1;0;1;0;0.5298452761958249;13.214285714285714;0.40102280167537985;1.7825997112809473;-0.7482244728054344;0;2;0;2;1;1;2;2;6;8;0;0;0;1;2;1;0;0;1;2;1;0
1;0.005998084472740374;0.19891877611191527;1;0;0;1;0;0;0;-2.0832243070150342;0.0;0.40102280167537985;1.7825997112809473;-0.7482244728054344;1;2;0;4;1;1;2;2;0;8;1;0;0;1;2;0;0;0;1;0;0;0
1;-1.7316149364467996;-1.0605544340565465;1;0;0;1;0;1;0;0.007231359553653177;11.0;-1.0236471597725936;0.12161458918853636;1.5574172805491155;0;2;1;0;2;1;2;2;0;7;0;0;0;1;2;1;0;0;1;2;1;0
1;1.214772359895029;0.671221229925089;1;0;0;1;0;1;0;0.5369076264207193;12.0;-0.3113121790486066;0.12161458918853636;0.774118642653232;0;2;0;2;1;1;2;2;4;6;0;0;0;1;2;0;0;0;1;0;1;0
